location,company,title,salary
,"Resolute Management, Inc.",Quantitative Analyst,"$50,000 - $60,000 a year"
,Aldi,Data Analytics Specialist,"$62,000 a year"
,First Notch Technology,Data Analyst with sql,$22 an hour
,Aldi,Data Analytics Associate II,$26.25 an hour
,Private,Data Analyst,$13 an hour
,Integrated Services of Kalamazoo,Data Analyst,
"Detroit, MI 48202 (New Center area)",DPSCD,"Program Associate I, Data Analyst",$64.50 an hour
"Livonia, MI 48152",AccumTech,Data Analyst,"$55,000 - $85,000 a year"
"Detroit, MI",VROOM,Data Analyst,
"Detroit, MI 48216 (Briggs area)",MICHIGAN CONFERENCE OF TEAMSTERS WELFARE FUND,Claims Data Analyst Healthcare,$18 - $22 an hour
"Newport Beach, CA",Lyceum Dynamics,Data Analyst,$40 - $50 an hour
"Orlando, FL 32801 (Central Business District area)",Change Everything Inc.,Data Analyst Intern,
"Bloomfield Hills, MI 48302",Common Ground,Data Analyst - Full-Time (Non-Exempt),
"Detroit, MI",General Motors,Data Analyst for Enterprise Integration Intern,
"Bellevue, WA",Streams Inc,Data Analyst,
"Detroit, MI 48226 (Downtown area)",Quicken Loans,Data Solutions Analyst,
,"Michigan Planners, Inc.",Employee Benefits Plan Analyst,
,Maschmeyer Concrete Company of Florida,Data Analyst,
,JND Legal Administration,Data Analyst,"$60,000 - $80,000 a year"
,Starr and Associates,Data Analyst,"$80,000 - $106,242 a year"
,"Deacom, Inc.",Data Specialist,"$60,000 - $95,000 a year"
,"Decision Information Resources, Inc",Senior Data Analyst,"$80,000 - $115,000 a year"
,Christie Campus Health,Data Research Analyst,$23 - $28 an hour
,"Prime MSO, LLC.",Jr. Data Analyst (Jr. DA),"$38,000 - $60,000 a year"
,Qi Venture Partners,Research & Data Analyst,"$50,000 - $65,000 a year"
,County of Washington,Data Analyst II,$17.88 an hour
,Amida Technology Solutions,Data Analyst,
,Wellview Health,Business Intelligence Analyst,"$65,000 - $90,000 a year"
,Team Velocity,Mid-Level Data Analyst,
,Columbia Marking Tools,Customer Service/Data Entry,$14 - $15 an hour
,"Asset Protection Unit, Inc.",Overpayment Data Analyst/Programmer,"$70,000 - $100,000 a year"
,Liberty Mutual Insurance,Principal Data Analyst,"$110,900 - $143,500 a year"
,"Edge Pharma, LLC.",QC Microbiology Analyst,
,Delta Research Inc,Tactical Data Link Analyst,
,CNS Healthcare,Business Analyst,
,Brook Valley Management,Retail Data Analyst,"$60,000 - $75,000 a year"
,Auxilior Capital Partners,Senior Credit Analyst,"$65,000 - $75,000 a year"
,Stevens Engineers and Constructors,Project Controls Analyst,
,Dow Jones,"Data Engineer, Newsroom Data Products",
,Backer-Springfield (Backer EHP Inc.),Network Analyst,
,Amfuel,Cost/Schedule Analyst,"$50,000 a year"
,Alliant Energy,Senior Data Warehouse/Data Modeling Analyst,
,"Paulson Investment Company, LLC",Investment Banking Analyst (Life Science),"$40,000 - $90,000 a year"
,Comerica Bank,Technical Data Analytics Principal Engineer,
,Mid-Delta Durable Medical Equipment,DME Billing Analyst,
,"Suracy Insurance Agency, Inc.",Senior Data Analyst,
,InterVarsity Christian Fellowship,Data Quality Analyst,"$43,000 - $58,000 a year"
,Collection Experts Inc,Data Analyst/Helpdesk,
,Bath Community Hospital,Revenue Integrity Analyst,
,DTSV,Data Analyst,
